no;dapil;partai;nama;jk;lokasi
1525;bener-meriah;PKS;BARDAN SAHIDI;Laki-Laki;ACEH TENGAH
1526;bener-meriah;PKS;ISTARANI, S.AG;Laki-Laki;KOTA MEDAN
1527;bener-meriah;PKS;WAHYU MUSLIMAH;Perempuan;ACEH TENGAH
1528;bener-meriah;PKS;HASANUDIN;Laki-Laki;ACEH TENGAH
1529;bener-meriah;PKS;IRMA YANTI;Perempuan;ACEH BESAR
1530;bener-meriah;PKS;IHSANUDDIN;Laki-Laki;ACEH TENGAH
1531;bener-meriah;PKB;SALIHIN;Laki-Laki;BENER MERIAH
1532;bener-meriah;PKB;ALAMSYAH MAHMUD GAYO, SH. MM;Laki-Laki;KOTA BEKASI
1534;bener-meriah;PKB;JUSRIADI;Laki-Laki;BENER MERIAH
1535;bener-meriah;PKB;LOFINA WILFA;Perempuan;BENER MERIAH
1536;bener-meriah;PNA;LIGA DINSYAH;Laki-Laki;ACEH TENGAH
1537;bener-meriah;PNA;WAHYUNI;Perempuan;ACEH TENGAH
1538;bener-meriah;PNA;TATI GUSTINA;Perempuan;ACEH TENGAH
1539;bener-meriah;PNA;SUTERISNO, M.AP;Laki-Laki;BENER MERIAH
1540;bener-meriah;PNA;BASRI ARITA, ST;Laki-Laki;ACEH TENGAH
1541;bener-meriah;PNA;ANDA SUHADA;Laki-Laki;JAKARTA SELATAN
1543;bener-meriah;PARTAI NASDEM;FAUZAN ALIA;Laki-Laki;KOTA BANDA ACEH
1548;bener-meriah;PPP;Drs. BUDI YAZIR;Laki-Laki;ACEH TENGAH
1549;bener-meriah;PPP;RAMIANTI;Perempuan;ACEH TENGAH
1550;bener-meriah;PPP;BUDIYONO, S.Hut;Laki-Laki;ACEH TENGAH
1551;bener-meriah;PPP;NURDIN SUPI;Laki-Laki;ACEH TENGAH
1552;bener-meriah;PPP;KASMAN;Laki-Laki;ACEH TENGAH
1553;bener-meriah;PPP;ERNAWATI;Perempuan;ACEH TENGAH
1556;bener-meriah;SIRA;AFRILIZA AMALIA SIREGAR;Perempuan;ACEH TENGAH
1559;bener-meriah;PSI;IPAK MAHTAWARMI;Perempuan;ACEH TENGAH
1560;bener-meriah;PERINDO;MAIDA SARI;Perempuan;ACEH BESAR
1561;bener-meriah;PERINDO;YENTI PASARIBU;Perempuan;KOTA BANDA ACEH
1579;bener-meriah;PBB;MAWARDI ABDULLAH, M.M.;Laki-Laki;JAKARTA SELATAN
1590;bener-meriah;DEMOKRAT;MUSLIM, SHI.MM;Laki-Laki;JAKARTA SELATAN
1591;bener-meriah;DEMOKRAT;MIRNAWATI;Perempuan;KOTA LANGSA
1592;bener-meriah;DEMOKRAT;HAMDAN SATI, ST;Laki-Laki;ACEH TAMIANG
1593;bener-meriah;DEMOKRAT;JAMALUDDIN T MUKU;Laki-Laki;KOTA BANDA ACEH
1594;bener-meriah;DEMOKRAT;KAUTSAR MUHAMMAD YUS;Laki-Laki;KOTA BANDA ACEH
1595;bener-meriah;DEMOKRAT;PINUS YANI;Perempuan;ACEH BESAR
1600;bener-meriah;GERINDRA;FERRY MUNANDAR, ST;Laki-Laki;KOTA BANDA ACEH
1601;bener-meriah;GERINDRA;Ir. H. NASARUDDIN, MM;Laki-Laki;ACEH TENGAH
1603;bener-meriah;PARTAI GERAKAN PERUBAHAN INDONESIA;AGUSTIAWAN NUR, SE;Laki-Laki;KOTA LHOKSEUMAWE
1604;bener-meriah;PARTAI GERAKAN PERUBAHAN INDONESIA;TGK. MUNTAHA;Laki-Laki;ACEH UTARA
1605;bener-meriah;PARTAI GERAKAN PERUBAHAN INDONESIA;WARDANI MARLINA, SE;Perempuan;BOGOR
1606;bener-meriah;GOLKAR;ILHAM PANGESTU;Laki-Laki;KOTA LANGSA
1607;bener-meriah;GOLKAR;DRS. H. MARZUKI DAUD;Laki-Laki;JAKARTA TIMUR
1608;bener-meriah;GOLKAR;CUT RIZKA SEPTIANI, M.Si;Perempuan;JAKARTA SELATAN
1609;bener-meriah;GOLKAR;FIRMANDEZ, S.E., Ak.;Laki-Laki;JAKARTA SELATAN
1610;bener-meriah;GOLKAR;REDUK NILAWARNI, S.Pd;Perempuan;JAKARTA TIMUR
1611;bener-meriah;GOLKAR;T. YUSNI;Laki-Laki;ACEH TAMIANG
1612;bener-meriah;HANURA;MIRWAN AMIR;Laki-Laki;JAKARTA SELATAN
1613;bener-meriah;HANURA;SARA NAIDU;Perempuan;JAKARTA SELATAN
1614;bener-meriah;HANURA;TATA MOEDA TAQWA;Laki-Laki;KOTA LANGSA
1615;bener-meriah;HANURA;ALAMSYAH;Laki-Laki;ACEH TENGAH
1616;bener-meriah;HANURA;MAULIZA WULANDARI;Perempuan;KOTA LHOKSEUMAWE
1617;bener-meriah;HANURA;SANDY PANGESTU;Laki-Laki;BENER MERIAH
1618;bener-meriah;PARTAI KEADILAN DAN PERSATUAN INDONESIA;USWATUN CHASANAH;Perempuan;SUKOHARJO
1620;bener-meriah;PKS;TGK. H. MUHAMMAD NUR, M. Si;Laki-Laki;ACEH UTARA
1623;bener-meriah;PKS;BARMANSYAH;Laki-Laki;JAKARTA SELATAN
1624;bener-meriah;PKS;M. YUSUF ISMAIL PASE, SH, MH;Laki-Laki;KOTA LHOKSEUMAWE
1627;bener-meriah;PKB;SAYUTI, SH.MH;Laki-Laki;JAKARTA SELATAN
1628;bener-meriah;PKB;SRI ARIANA NINGSIH;Perempuan;KOTA BANDA ACEH
1629;bener-meriah;PKB;RUSLAN M. DAUD;Laki-Laki;BIREUEN
1630;bener-meriah;PKB;RAHMI ABDI;Perempuan;ACEH BESAR
1631;bener-meriah;PKB;FAISAL RIDHA, S.Ag., MM;Laki-Laki;ACEH BESAR
1632;bener-meriah;PARTAI NASDEM;ZULFAN LINDAN;Laki-Laki;JAKARTA SELATAN
1633;bener-meriah;PARTAI NASDEM;MUHARUDDIN;Laki-Laki;KOTA BANDA ACEH
1636;bener-meriah;PARTAI NASDEM;DR. IBRAHIM HASYIM SE, MM;Laki-Laki;JAKARTA BARAT
1642;bener-meriah;PPP;JAMALUDIN, SE;Laki-Laki;ACEH UTARA
1644;bener-meriah;PSI;KAMARUDDIN, SH;Laki-Laki;ACEH TAMIANG
1650;bener-meriah;PERINDO;GIVIANNA ELY;Perempuan;ACEH BESAR
1651;bener-meriah;PERINDO;HERMAN KOSASIH;Laki-Laki;KOTA BANDA ACEH
1652;bener-meriah;PERINDO;HERMAN BAHARI, S.H;Laki-Laki;ACEH TAMIANG
1653;bener-meriah;PERINDO;RAZALI ZAINUDDIN, A.Md.;Laki-Laki;ACEH UTARA
1654;bener-meriah;PERINDO;NURHAYATI;Perempuan;BIREUEN
1656;bireuen;PA;ZULFADHLI, A.Md;Laki-Laki;BIREUEN
1657;bireuen;PA;ARABIYANI, S.H;Perempuan;KOTA BANDA ACEH
1658;bireuen;PA;MUNAWAR YUSUF;Laki-Laki;BIREUEN
1659;bireuen;PA;ASYARI;Laki-Laki;BIREUEN
1660;bireuen;PA;ROSDIANI;Perempuan;BIREUEN
1661;bireuen;PA;ADLY TJALOK BIN IBRAHIM;Laki-Laki;KOTA BANDA ACEH
1662;bireuen;PA;PUTRI ZULFIDAR, S. Pd;Perempuan;BIREUEN
1663;bireuen;PAN;Drs. H. RIDWAN KHALID;Laki-Laki;BIREUEN
1664;bireuen;PAN;H. ASRUL ABBAS, SE;Laki-Laki;ACEH BESAR
1677;bireuen;PDA;JABARDI M. JABIR, SE;Laki-Laki;BIREUEN
1680;bireuen;PDA;H. M. YUSUF ISMAIL;Laki-Laki;BIREUEN
1681;bireuen;PDA;MISRA RISKI MAIRANDA, A.Md;Perempuan;KOTA BANDA ACEH
1683;bireuen;PDA;DARMAWATI HS;Perempuan;ACEH BESAR
1684;bireuen;PDIP;ALI DJAUHARI, BE., Ars;Laki-Laki;BIREUEN
1685;bireuen;PDIP;JULIANA RUSLAN;Perempuan;BIREUEN
1686;bireuen;PDIP;BUSTAMI NYAK IDI;Laki-Laki;BIREUEN
1687;bireuen;PDIP;IRDANOVA;Perempuan;BIREUEN
1688;bireuen;PDIP;AMRIZAL.A.;Laki-Laki;BIREUEN
1689;bireuen;PDIP;NURMASYITAH HARAHAP, A.Md.Keb;Perempuan;BIREUEN
1697;bireuen;GERINDRA;DARWANSYAH, SE;Laki-Laki;BIREUEN
1698;bireuen;GERINDRA;Dra. Hj. ANIZAR ZAINAL, M.Si;Perempuan;ACEH BESAR
1700;bireuen;GERINDRA;JENNY YUS S;Perempuan;BIREUEN
1708;bireuen;GOLKAR;ILHAM AKBAR, ST;Laki-Laki;BIREUEN
1709;bireuen;GOLKAR;SALMAN, ST;Laki-Laki;BIREUEN
1712;bireuen;HANURA;HUSAINI M. AMIN;Laki-Laki;BIREUEN
1713;bireuen;HANURA;RM. TEGUH PRAWIRA ATMAJA;Laki-Laki;ACEH BESAR
1714;bireuen;HANURA;EVA RATNA JUWITA;Perempuan;ACEH BESAR
1718;bireuen;PKS;SYAFIE M ISA IBR;Laki-Laki;BIREUEN
1719;bireuen;PKS;DRS.. M HASAN;Laki-Laki;BIREUEN
1720;bireuen;PKS;NURJANNAH, SE;Perempuan;BIREUEN
1721;bireuen;PKS;dr. PURNAMA SETIA BUDI, Sp. OG;Laki-Laki;BIREUEN
1722;bireuen;PKS;FITRIADI, A.MD;Laki-Laki;BIREUEN
1723;bireuen;PKS;FAUZIAH, S.PD;Perempuan;BIREUEN
1724;bireuen;PKS;RUQAIYAH, S.PD;Perempuan;BIREUEN
1728;bireuen;PKB;MUZAKKIR;Laki-Laki;ACEH BESAR
1732;bireuen;PNA;SAMSUL BAHRI;Laki-Laki;BIREUEN
1733;bireuen;PNA;TGK HAIDAR;Laki-Laki;BIREUEN
1734;bireuen;PNA;TETTIANA EDWARD;Perempuan;BIREUEN
1735;bireuen;PNA;SHAIFUDDIN;Laki-Laki;BIREUEN
1736;bireuen;PNA;CUT SARI JULIANI, S.Pd;Perempuan;BIREUEN
1737;bireuen;PNA;Drs. ZAHRUL MUNZIR, M.Si;Laki-Laki;KOTA BANDA ACEH
1738;bireuen;PNA;ADE RAHMI RATNASARI;Perempuan;KOTA LHOKSEUMAWE
1746;bireuen;PPP;DR. AMIRUDDIN IDRIS, SE, M.SI;Laki-Laki;BIREUEN
1747;bireuen;PPP;IR. BASRI ALI;Laki-Laki;KOTA BANDA ACEH
1748;bireuen;PPP;DRA. NURBAITI A. GANI;Perempuan;BIREUEN
1749;bireuen;PPP;AZWANI;Laki-Laki;BIREUEN
1750;bireuen;PPP;HERLIANA, S.P;Perempuan;BIREUEN
1751;bireuen;PPP;SURYA, S.SOS;Laki-Laki;BIREUEN
1752;bireuen;PPP;YURLITA;Perempuan;BIREUEN
1755;bireuen;SIRA;MAULIANA;Perempuan;BIREUEN
1765;bireuen;PERINDO;FAUZAN BUKHARI;Laki-Laki;BIREUEN
1766;bireuen;PERINDO;MARLINDA;Perempuan;BIREUEN
1767;bireuen;PERINDO;AZHARI;Laki-Laki;ACEH BESAR
1784;bireuen;PBB;MAWARDI ABDULLAH, M.M.;Laki-Laki;JAKARTA SELATAN
1795;bireuen;DEMOKRAT;MUSLIM, SHI.MM;Laki-Laki;JAKARTA SELATAN
1796;bireuen;DEMOKRAT;MIRNAWATI;Perempuan;KOTA LANGSA
1797;bireuen;DEMOKRAT;HAMDAN SATI, ST;Laki-Laki;ACEH TAMIANG
1798;bireuen;DEMOKRAT;JAMALUDDIN T MUKU;Laki-Laki;KOTA BANDA ACEH
1799;bireuen;DEMOKRAT;KAUTSAR MUHAMMAD YUS;Laki-Laki;KOTA BANDA ACEH
1800;bireuen;DEMOKRAT;PINUS YANI;Perempuan;ACEH BESAR
1805;bireuen;GERINDRA;FERRY MUNANDAR, ST;Laki-Laki;KOTA BANDA ACEH
1806;bireuen;GERINDRA;Ir. H. NASARUDDIN, MM;Laki-Laki;ACEH TENGAH
1808;bireuen;PARTAI GERAKAN PERUBAHAN INDONESIA;AGUSTIAWAN NUR, SE;Laki-Laki;KOTA LHOKSEUMAWE
1809;bireuen;PARTAI GERAKAN PERUBAHAN INDONESIA;TGK. MUNTAHA;Laki-Laki;ACEH UTARA
1810;bireuen;PARTAI GERAKAN PERUBAHAN INDONESIA;WARDANI MARLINA, SE;Perempuan;BOGOR
1811;bireuen;GOLKAR;ILHAM PANGESTU;Laki-Laki;KOTA LANGSA
1812;bireuen;GOLKAR;DRS. H. MARZUKI DAUD;Laki-Laki;JAKARTA TIMUR
1813;bireuen;GOLKAR;CUT RIZKA SEPTIANI, M.Si;Perempuan;JAKARTA SELATAN
1814;bireuen;GOLKAR;FIRMANDEZ, S.E., Ak.;Laki-Laki;JAKARTA SELATAN
1815;bireuen;GOLKAR;REDUK NILAWARNI, S.Pd;Perempuan;JAKARTA TIMUR
1816;bireuen;GOLKAR;T. YUSNI;Laki-Laki;ACEH TAMIANG
1817;bireuen;HANURA;MIRWAN AMIR;Laki-Laki;JAKARTA SELATAN
1818;bireuen;HANURA;SARA NAIDU;Perempuan;JAKARTA SELATAN
1819;bireuen;HANURA;TATA MOEDA TAQWA;Laki-Laki;KOTA LANGSA
1820;bireuen;HANURA;ALAMSYAH;Laki-Laki;ACEH TENGAH
1821;bireuen;HANURA;MAULIZA WULANDARI;Perempuan;KOTA LHOKSEUMAWE
1822;bireuen;HANURA;SANDY PANGESTU;Laki-Laki;BENER MERIAH
1823;bireuen;PARTAI KEADILAN DAN PERSATUAN INDONESIA;USWATUN CHASANAH;Perempuan;SUKOHARJO
1825;bireuen;PKS;TGK. H. MUHAMMAD NUR, M. Si;Laki-Laki;ACEH UTARA
1828;bireuen;PKS;BARMANSYAH;Laki-Laki;JAKARTA SELATAN
1829;bireuen;PKS;M. YUSUF ISMAIL PASE, SH, MH;Laki-Laki;KOTA LHOKSEUMAWE
1832;bireuen;PKB;SAYUTI, SH.MH;Laki-Laki;JAKARTA SELATAN
1833;bireuen;PKB;SRI ARIANA NINGSIH;Perempuan;KOTA BANDA ACEH
1834;bireuen;PKB;RUSLAN M. DAUD;Laki-Laki;BIREUEN
1835;bireuen;PKB;RAHMI ABDI;Perempuan;ACEH BESAR
1836;bireuen;PKB;FAISAL RIDHA, S.Ag., MM;Laki-Laki;ACEH BESAR
1837;bireuen;PARTAI NASDEM;ZULFAN LINDAN;Laki-Laki;JAKARTA SELATAN
1838;bireuen;PARTAI NASDEM;MUHARUDDIN;Laki-Laki;KOTA BANDA ACEH
1841;bireuen;PARTAI NASDEM;DR. IBRAHIM HASYIM SE, MM;Laki-Laki;JAKARTA BARAT
1847;bireuen;PPP;JAMALUDIN, SE;Laki-Laki;ACEH UTARA
1849;bireuen;PSI;KAMARUDDIN, SH;Laki-Laki;ACEH TAMIANG
1855;bireuen;PERINDO;GIVIANNA ELY;Perempuan;ACEH BESAR
1856;bireuen;PERINDO;HERMAN KOSASIH;Laki-Laki;KOTA BANDA ACEH
1857;bireuen;PERINDO;HERMAN BAHARI, S.H;Laki-Laki;ACEH TAMIANG
1858;bireuen;PERINDO;RAZALI ZAINUDDIN, A.Md.;Laki-Laki;ACEH UTARA
1859;bireuen;PERINDO;NURHAYATI;Perempuan;BIREUEN
1861;bogor;PAN;H SUPONO;Laki-Laki;BOGOR
1862;bogor;PAN;MARYONO, S.E;Laki-Laki;BOGOR
1863;bogor;PAN;NURITA APRILLIA DEWI;Perempuan;KOTA DEPOK
1864;bogor;PAN;VIQROUSY PRABUANA SUKMA, SE.;Laki-Laki;BOGOR
1865;bogor;PAN;RIDLO ABDILLAH;Laki-Laki;KOTA BANDUNG
1867;bogor;PAN;SAHRUL BASRI HASIBUAN, S.Sos.i;Laki-Laki;BOGOR
1870;bogor;PAN;YASSER ARAFAT, SH., MKn.;Laki-Laki;BOGOR
1872;bogor;PARTAI BERKARYA;MUHSIN;Laki-Laki;BOGOR
1874;bogor;PARTAI BERKARYA;JACKY WIJAYA;Laki-Laki;KOTA BOGOR
1875;bogor;PARTAI BERKARYA;DRS. MUALLIM DAUD, M.M;Laki-Laki;BOGOR
1876;bogor;PARTAI BERKARYA;SUGENG ANTO;Laki-Laki;BOGOR
1879;bogor;PBB;Drs.. MULYANA HIDAYAT, S.Mn., M.E.Sy.;Laki-Laki;BANDUNG
1886;bogor;PBB;ALQUDSI FADJRIANTI, S.KG;Perempuan;BOGOR
1890;bogor;PBB;Drs.. H.M. YAZID SALMAN;Laki-Laki;BOGOR
1895;bogor;PDIP;ROSENFIELD PANJAITAN;Laki-Laki;BOGOR
1900;bogor;PDIP;REONALDO;Laki-Laki;KOTA BOGOR
1903;bogor;DEMOKRAT;ASEP WAHYUWIJAYA, SH;Laki-Laki;JAKARTA SELATAN
1904;bogor;DEMOKRAT;DEDE CHANDRA SASMITA, S.AG;Laki-Laki;BOGOR
1905;bogor;DEMOKRAT;EVA NURHAYATI;Perempuan;KOTA CIMAHI
1906;bogor;DEMOKRAT;SYAFRUDIN SAANIN;Laki-Laki;KOTA BANDUNG
1907;bogor;DEMOKRAT;YOPIS PITERNALIS, SH;Laki-Laki;JAKARTA UTARA
1908;bogor;DEMOKRAT;WENI SEPALIA, SH;Perempuan;JAKARTA UTARA
1909;bogor;DEMOKRAT;SUGIYANTO, SH;Laki-Laki;CIANJUR
1910;bogor;DEMOKRAT;YUNINGSIH;Perempuan;BOGOR
1911;bogor;DEMOKRAT;H. ASEP TOHA ABDUL RAHMAN;Laki-Laki;KOTA BANDUNG
1912;bogor;DEMOKRAT;AMANDA LUTHFIANTI;Perempuan;BOGOR
1913;bogor;DEMOKRAT;IWAN SURYANA;Laki-Laki;BOGOR
1914;bogor;GERINDRA;H. RICKY KURNIAWAN, LC;Laki-Laki;JAKARTA TIMUR
1915;bogor;GERINDRA;IR. PRASETYAWATI, MM;Perempuan;KOTA BEKASI
1916;bogor;GERINDRA;HAPPY SRI HARTATI D RAJA;Perempuan;JAKARTA SELATAN
1917;bogor;GERINDRA;LIHETY HERLINA, A.MD., S.PD., MM;Perempuan;KOTA TANGERANG SELATAN
1918;bogor;GERINDRA;H. CECEP GOGOM.SAG.MPD;Laki-Laki;BOGOR
1919;bogor;GERINDRA;DEDDY KUSNADI;Laki-Laki;BOGOR
1920;bogor;GERINDRA;ADANG GUMILAR;Laki-Laki;KOTA BANDUNG
1921;bogor;GERINDRA;REGITHA PATRIZIA;Perempuan;BOGOR
1922;bogor;GERINDRA;MUHAMMAD IMAM PANANJUNG;Laki-Laki;KOTA BOGOR
1923;bogor;GERINDRA;ASYLAK MANSUR, S.AG., M.SI., MM.PD;Laki-Laki;BOGOR
1924;bogor;GERINDRA;MULTI MULYAWATI;Perempuan;BANDUNG
1925;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;DEDE ERNAWATI;Perempuan;BOGOR
1926;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;A.KHALIK;Laki-Laki;BOGOR
1927;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;DENNY MAULANA;Laki-Laki;BOGOR
1928;bogor;GOLKAR;H. KUSNADI, S.IP;Laki-Laki;BANDUNG
1929;bogor;GOLKAR;SAMSUL HIDAYAT, SH;Laki-Laki;KOTA BOGOR
1930;bogor;GOLKAR;ASTRI REGINA KAMILA HATTA, S.Sos, B.A.Com.;Perempuan;BOGOR
1931;bogor;GOLKAR;HIDAYAT ROYANI, SH,MH;Laki-Laki;BOGOR
1932;bogor;GOLKAR;SUDARMADI SULISTIYO, SE;Laki-Laki;JAKARTA TIMUR
1933;bogor;GOLKAR;ERLIN SARINTAN, SE;Perempuan;JAKARTA BARAT
1934;bogor;GOLKAR;VAREZ AKBAR FADILLAH, SH;Laki-Laki;BOGOR
1935;bogor;GOLKAR;LICHA, S.H;Perempuan;BOGOR
1936;bogor;GOLKAR;NURHAYATI;Perempuan;BOGOR
1937;bogor;GOLKAR;RIDWAN ABDUL GHANY, S.Kom;Laki-Laki;JAKARTA TIMUR
1938;bogor;GOLKAR;H. WAWAN NURMAWAN NURDIEN, S.Th.I;Laki-Laki;BOGOR
1939;bogor;HANURA;A. RUSTANDI, S.IP., MA.;Laki-Laki;BOGOR
1940;bogor;HANURA;HUDLI ABDULLAH, SE.;Laki-Laki;JAKARTA SELATAN
1941;bogor;HANURA;VIRLY MEIRIZZA;Perempuan;KOTA BOGOR
1942;bogor;HANURA;H. DIDEN NURUL FALAH;Laki-Laki;BOGOR
1943;bogor;HANURA;Dra. EC.. SOEMARNI, MM., PhD;Perempuan;JAKARTA SELATAN
1944;bogor;HANURA;KAN AUGUS HARLEE;Laki-Laki;JAKARTA BARAT
1945;bogor;HANURA;RACHMIYATI;Perempuan;BOGOR
1946;bogor;HANURA;RAGIL FAJAR KURNIAWAN;Laki-Laki;KOTA BANDUNG
1947;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;GERRY M SUWARYO, SE.,MM.;Laki-Laki;BOGOR
1948;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;VANNY KURNIARAMADHANI S;Perempuan;JAKARTA PUSAT
1949;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;CECEP RUMAENUR;Laki-Laki;BOGOR
1950;bogor;PKS;DEWI RACHMAWATI, S.E.;Perempuan;JAKARTA PUSAT
1951;bogor;PKS;IR.. AJI ASYHARI;Laki-Laki;BOGOR
1952;bogor;PKS;DESY MUZFIDA, S.Ag.;Perempuan;KOTA CIMAHI
1953;bogor;PKS;H. MOCHAMAD ICHSAN M., A.Md.;Laki-Laki;BOGOR
1954;bogor;PKS;ZULFIKAR MAHBUB RABBANI;Laki-Laki;BOGOR
1955;bogor;PKS;SADARI;Laki-Laki;BOGOR
1956;bogor;PKS;EVI AFIAH, S.Ag.;Perempuan;BOGOR
1957;bogor;PKS;MURDOKO;Laki-Laki;BOGOR
1958;bogor;PKS;IR. LIAWATI;Perempuan;KOTA BOGOR
1960;bogor;PKB;DINDIN ABDULLAH GHOZALI;Laki-Laki;KOTA BANDUNG
1962;bogor;PKB;AWALUDIN;Laki-Laki;KOTA DEPOK
1969;bogor;PARTAI NASDEM;H. LAODE ALBERT PRIBADI, SE;Laki-Laki;BOGOR
1970;bogor;PARTAI NASDEM;ERNI ROHAINI, SH.,MBA;Perempuan;JAKARTA SELATAN
1971;bogor;PARTAI NASDEM;H. EMAN SULAEMAN, SH;Laki-Laki;BOGOR
1972;bogor;PARTAI NASDEM;AGUS PRANOTO, S.Sos;Laki-Laki;BOGOR
1973;bogor;PARTAI NASDEM;DEDI NANDANG SURATMAN, S.Sos, S.Pd;Laki-Laki;KOTA BANDUNG
1974;bogor;PARTAI NASDEM;TOYA LARAZA, A.Md;Perempuan;KOTA BOGOR
1975;bogor;PARTAI NASDEM;HARRY WIHARYA, ST. MM;Laki-Laki;KOTA BOGOR
1976;bogor;PARTAI NASDEM;PAWESONDRA YULINSAM FRATIDINA;Perempuan;BOGOR
1977;bogor;PARTAI NASDEM;IWAN ADE IRAWAN;Laki-Laki;KOTA BEKASI
1978;bogor;PARTAI NASDEM;IRMAWATI;Perempuan;BOGOR
1979;bogor;PARTAI NASDEM;MUHAMMAD SYARIF ABADI, S.I.Kom;Laki-Laki;BOGOR
1980;bogor;PPP;RUHIYAT NUGRAHA;Laki-Laki;JAKARTA BARAT
1981;bogor;PPP;RIFDIAN SURYA DARMA, SE;Laki-Laki;BOGOR
1982;bogor;PPP;YENTI NASHIHATUL UMMAH;Perempuan;BOGOR
1983;bogor;PPP;AGUS SYAFIIN PANE;Laki-Laki;KOTA TANGERANG SELATAN
1984;bogor;PPP;USUP;Laki-Laki;BOGOR
1985;bogor;PPP;YULIA HARTATI;Perempuan;KOTA BEKASI
1986;bogor;PPP;TITA ROSITA;Perempuan;BOGOR
1987;bogor;PPP;H.TOPIK;Laki-Laki;BOGOR
1988;bogor;PSI;NANANG SURAHMAN AGUNG PUJALAKSANA;Laki-Laki;JAKARTA TIMUR
1989;bogor;PSI;NONNY INDRIANI;Perempuan;BOGOR
1990;bogor;PSI;RANGGAWISNU;Laki-Laki;BOGOR
1992;bogor;PERINDO;Drs. MURSIDIN;Laki-Laki;BOGOR
1993;bogor;PERINDO;DITA ADITIA ISMAWATI, SE., M.M.;Perempuan;KOTA BOGOR
1994;bogor;PERINDO;SYARIFUDIN;Laki-Laki;KOTA TANGERANG
1996;bogor;PERINDO;SUHANDA HENDRAWAN;Laki-Laki;BOGOR
1997;bogor;PERINDO;ACHMAD RIDJALULHAQ, S.H.;Laki-Laki;BOGOR
1998;bogor;PERINDO;SUDIRNO;Laki-Laki;BOGOR
2001;bogor;PERINDO;AYU RIZA FATIMAH, S. KOM;Perempuan;BOGOR
2002;bogor;PERINDO;SATYA NUGRAHA, A.MTrU;Laki-Laki;KOTA DEPOK
2007;bogor;PAN;H. ARIF BUDIMAN, S.SOS;Laki-Laki;KOTA DEPOK
2015;bogor;PARTAI BERKARYA;Mayjen TNI (Purn). MALIKI MIFT, SIP, M.H.;Laki-Laki;BOGOR
2016;bogor;PARTAI BERKARYA;Ir. H. GUNAWAN HASAN;Laki-Laki;BOGOR
2019;bogor;PARTAI BERKARYA;ELLY KARLINA;Perempuan;KOTA TANGERANG
2021;bogor;PARTAI BERKARYA;DONY ENDRASSANTO, SH;Laki-Laki;KOTA BOGOR
2033;bogor;PDIP;AZMAH SHOOBIROH;Perempuan;JAKARTA TIMUR
2034;bogor;PDIP;INDAH PERTIWI NATAPRAWIRA;Perempuan;KOTA BEKASI
2041;bogor;DEMOKRAT;H. ANTON SUKARTONO SURATTO, M. Si;Laki-Laki;BOGOR
2042;bogor;DEMOKRAT;H. MAX SOPACUA, SE, M.Sc;Laki-Laki;KOTA BOGOR
2043;bogor;DEMOKRAT;R. RORO TRI PONNINGSIH, SS;Perempuan;BOGOR
2044;bogor;DEMOKRAT;FERDINAND HUTAHAEAN;Laki-Laki;KOTA BEKASI
2045;bogor;DEMOKRAT;RYAN SYARIEF;Laki-Laki;BOGOR
2046;bogor;DEMOKRAT;DR. HJ. RATNASARI AZAHARI, MPA;Perempuan;KOTA BOGOR
2047;bogor;DEMOKRAT;IRWAN SUHANTO;Laki-Laki;JAKARTA TIMUR
2048;bogor;DEMOKRAT;SRI SUGIANTI;Perempuan;JAKARTA BARAT
2049;bogor;DEMOKRAT;Dr. Ir. R. RUDY IRAWAN, MM;Laki-Laki;JAKARTA SELATAN
2052;bogor;GERINDRA;Drs. H. MULYADI, MMA;Laki-Laki;BOGOR
2053;bogor;GERINDRA;JASMIN KARTIASA SETIAWAN;Perempuan;KOTA DEPOK
2054;bogor;GERINDRA;LUCKY BAYU PURNOMO, SE., ME.;Laki-Laki;BOGOR
2055;bogor;GERINDRA;Ir. H. DIDIK HARIYANTO;Laki-Laki;KOTA BOGOR
2056;bogor;GERINDRA;Ir. PERTIWI AWILDA;Perempuan;BOGOR
2058;bogor;GERINDRA;MUDRIKAH, S.E;Perempuan;KOTA TANGERANG SELATAN
2059;bogor;GERINDRA;EKA GUMILAR;Laki-Laki;BOGOR
2060;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;WIARTO SASTRORESONO, S.H,S.Sos, M.Si;Laki-Laki;JAKARTA UTARA
2061;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;HARUN, S.T;Laki-Laki;BOGOR
2062;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;NATALIA;Perempuan;JAKARTA UTARA
2063;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;LUKMAN NURALIM;Laki-Laki;KOTA BOGOR
2064;bogor;PARTAI GERAKAN PERUBAHAN INDONESIA;INTAN ARYANTI, S.Kom;Perempuan;JAKARTA SELATAN
2065;bogor;GOLKAR;RAVINDRA AIRLANGGA, M.S.;Laki-Laki;JAKARTA SELATAN
