dapil,partai,agama
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI KEBANGKITAN BANGSA,Katolik
kota-depok,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI DAERAH ACEH,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI AMANAT NASIONAL,-
kota-depok,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
kota-tebing-tinggi,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
manggarai,PARTAI AMANAT NASIONAL,Katolik
manggarai,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-10,PARTAI SIRA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-4,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-6,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-5,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-15,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-6,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-2,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-10,PARTAI NASDEM,Kristen Protestan
aceh-besar,PARTAI ACEH,-
aceh-tengah,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-2,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-2,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PERSATUAN INDONESIA,-
bireuen,PARTAI PERSATUAN PEMBANGUNAN,Islam
bogor,PARTAI SOLIDARITAS INDONESIA,Islam
kota-bogor,PARTAI SOLIDARITAS INDONESIA,Katolik
kota-sukabumi,PERSATUAN INDONESIA,Kristen Protestan
kupang,PARTAI HATI NURANI RAKYAT,Islam
ngada,PARTAI NASDEM,Kristen Protestan
purwakarta,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-3,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI BULAN BINTANG,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-6,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI KEADILAN SEJAHTERA,Islam
kota-sukabumi,PARTAI GOLONGAN KARYA,-
manggarai-barat,PARTAI NASDEM,-
wajo,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-1,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-10,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-12,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-2,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI PERSATUAN PEMBANGUNAN,-
aceh-besar,PARTAI SOLIDARITAS INDONESIA,Islam
majalengka,PARTAI GOLONGAN KARYA,Islam
serdang-bedagai,PARTAI GERAKAN INDONESIA RAYA,Budha
sumedang,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
wajo,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-3,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-5,PARTAI BULAN BINTANG,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-1,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-5,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI HATI NURANI RAKYAT,Katolik
bogor,PARTAI GERAKAN PERUBAHAN INDONESIA,-
cirebon,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
ngada,PARTAI DEMOKRAT,-
sumba-barat,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-11,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-5,PARTAI GOLONGAN KARYA,-
cirebon,PARTAI SOLIDARITAS INDONESIA,Islam
kota-sukabumi,PARTAI NASDEM,Islam
majalengka,PARTAI NASDEM,Islam
manggarai-barat,PARTAI KEADILAN SEJAHTERA,Katolik
manggarai-timur,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
sabu-raijua,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-7,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-2,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI HATI NURANI RAKYAT,Islam
kota-depok,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
rote-ndao,PARTAI GERAKAN PERUBAHAN INDONESIA,-
sumba-barat,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-10,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-1,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-12,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-3,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI DEMOKRAT,-
cirebon,PERSATUAN INDONESIA,Kristen Protestan
kupang,PARTAI HATI NURANI RAKYAT,Kristen Protestan
manggarai,PERSATUAN INDONESIA,Kristen Protestan
purwakarta,PARTAI NASDEM,Islam
rote-ndao,PARTAI BULAN BINTANG,Kristen Protestan
sabu-raijua,PARTAI BULAN BINTANG,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI SIRA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI DEMOKRAT,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-7,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-4,PARTAI KEADILAN SEJAHTERA,Islam
bogor,PARTAI SOLIDARITAS INDONESIA,-
indramayu,PARTAI GERAKAN PERUBAHAN INDONESIA,-
kota-kupang,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
ngada,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-7,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-15,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-5,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-7,PARTAI GOLONGAN KARYA,-
sikka,PARTAI PERSATUAN PEMBANGUNAN,Islam
sumba-tengah,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
sumba-tengah,PARTAI KEADILAN SEJAHTERA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-6,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI AMANAT NASIONAL,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-5,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI NASDEM,Lainnya
bekasi,PARTAI PERSATUAN PEMBANGUNAN,-
kota-bekasi,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-5,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-6,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-14,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-15,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-7,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-2,PERSATUAN INDONESIA,-
bener-meriah,PARTAI KEBANGKITAN BANGSA,Islam
kota-bekasi,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-6,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-4,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-6,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-3,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-4,PARTAI AMANAT NASIONAL,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI DEMOKRAT,Islam
